Indicator
#16-5-2
#16-9-1
#17-3-1
#2-1-1
#2-1-2
#2-1-3
#2-1-4
#2-1-5
#3-3-1
#3-4-1
#3-4-2
#3-4-3
#3-4-4
#5-5-1
#8-5-1
#8-5-2
#9-6-1
#9-7-1
